epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.5236,0.5491,0.94466,1,0.15414,0.000413386,0.000413386,0.000413386
2,183.225,0.22282,0.9585,1,0.12057,0.000813617,0.000813617,0.000813617
